lon;lat;elev;value;prid;dqc;sct;rep;fg;fge_mean;fge_sd
12.86172;59.52109;127;0;3;0;0.51;1;0;0;0.1
16.64079;60.58392;52;0;3;0;0.05;1;NA;0;0.1
11.12699;59.21587;41;0;3;0;0.01;1;0;0;0.1
12.86864;57.63284;143;0;3;0;0.28;1;NA;0;0.1
11.10204;59.28153;37;0;3;0;0;1;0;0;0.1
17.96444;59.23905;43;0;3;0;0;1;NA;0;0.1
15.94393;59.44082;23;0;3;0;0.03;1;NA;0;0.1
12.40498;55.94939;25;0;3;0;0.39;1;NA;0;0.1
8.64377;59.03593;472;0;3;0;0.01;1;0;0.1;0.1334
17.45736;60.56602;21;0;3;0;0.23;1;NA;0;0.1
14.19759;58.07146;122;0;3;0;0.02;1;NA;0;0.1
10.08301;56.10917;86;0;3;0;0.88;1;NA;1.8;3.4309
12.16191;57.31761;11;0;3;0;0.13;1;NA;0.2;0.7655
6.09429;60.25299;11;1.2;3;0;1.34;1;0.4;0.9;0.4868
8.28215;60.61213;547;0.3;3;0;0.89;1;0;0.9;0.5512
6.8388;58.24656;196;0;3;5;14.62;NA;0;1.5;2.9606
10.35961;61.42307;867;0.5;3;0;5.31;1;NA;0.7;1.1154
11.14024;59.58829;111;0;3;0;0.01;1;0;0;0.1
13.26664;55.34677;1;0;3;0;1.34;1;NA;0.3;0.6006
11.89705;57.62433;13;0;3;0;0;1;NA;0;0.1
10.96204;63.59073;104;0;3;0;0;1;0;0;0.1
13.27351;57.61388;178;0;3;0;1.01;1;NA;0;0.1
10.87246;59.96746;203;0;3;0;0.01;1;0;0;0.1
9.87529;57.03334;12;0;3;0;0.08;1;0;0.8;1.1669
24.18194;56.97831;9;0;3;0;0;1;NA;0;0.1
16.62357;57.9281;37;0;3;0;0.75;1;NA;0;0.1
9.50321;55.2687;46;0;3;0;0.02;1;NA;0;0.1
10.59565;60.71889;363;0;3;0;0;1;0;0;0.1
12.59247;55.75249;6;0;3;0;0.16;1;NA;0.1;0.1
17.7614;59.19408;58;0;3;0;0;1;NA;0;0.1
18.76026;60.14414;6;0;3;0;0.03;1;NA;0;0.1
20.27796;63.72242;12;0;3;0;0.06;1;NA;0;0.1
13.26909;56.49197;89;0;3;0;1.27;1;NA;0;0.1
9.07396;55.62955;73;0;3;0;0.03;1;NA;0;0.1
10.47439;59.76171;126;0.5;3;8;NA;NA;0.6;0;0.1
16.34631;56.80776;11;0;3;0;0.01;1;NA;0;0.1
10.21171;56.2003;32;0;3;0;0;1;NA;0.8;1.4407
10.44924;63.4316;59;0;3;0;0;1;0;0;0.1
15.07194;60.57722;176;0;3;0;0.04;1;NA;0;0.1
6.61156;60.56343;550;0;3;0;0.44;1;0;0.8;0.7808
10.52174;57.42572;6;0;3;0;0.19;1;0;0.3;0.56
5.86753;58.91929;57;0.3;3;8;NA;NA;0.9;0;0.1
10.10353;56.33266;67;0;3;5;7.33;NA;NA;1.1;2.8257
10.77742;59.27482;34;0;3;0;0.01;1;0;0;0.1
9.95973;59.75874;10;0.5;3;0;0.39;1;0.5;0;0.109
9.96;57.19636;13;0.7;3;0;4.76;1;0;2.1;3.635
12.39472;55.62462;5;0;3;0;0;1;NA;0;0.1
5.28677;60.30587;46;0;3;0;0.01;1;0;0.8;0.6396
10.21513;59.29808;49;0;3;0;0;1;0;0;0.1
6.39729;62.31869;54;0;3;0;0;1;0;0;0.1
12.50915;55.66889;10;0;3;0;0;1;NA;0;0.1
5.33168;60.29262;91;0;3;0;0.14;1;0;0.7;0.5461
14.92263;68.5568;20;0;3;0;1.76;1;0;0;0.1
8.26696;56.44727;12;0;3;5;30.25;NA;NA;0.6;1.3313
11.91984;58.61468;129;0;3;0;0.03;1;0;0;0.1
12.14273;57.70721;117;0;3;0;0;1;NA;0;0.1
12.4434;55.70044;14;0;3;0;0;1;NA;0;0.1
13.78898;57.05616;150;0;3;0;0;1;NA;0;0.1
9.69774;62.60031;576;0;3;0;0.09;1;0;0.1;0.2665
18.71797;63.31667;25;0;3;0;0.02;1;NA;0;0.1
10.6694;60.79211;201;0;3;0;0;1;0;0;0.1
18.00553;59.34172;4;0;3;0;0;1;NA;0;0.1
6.8555;60.69186;596;0;3;0;1.28;1;0;1.2;1.0969
10.55053;59.92226;103;0;3;0;0.01;1;0;0;0.1
11.877;54.85921;10;3.2;3;5;27.66;NA;NA;2.3;2.5842
18.17631;62.97494;60;0;3;0;0;1;NA;0;0.1
12.68677;59.58464;64;0;3;0;0;1;0;0;0.1
15.5722;60.60243;199;0;3;0;0;1;NA;0;0.1
8.38846;62.22338;616;0;3;0;0.26;1;0;1.2;1.8791
10.60054;60.25922;508;0;3;0;0.01;1;0;0;0.1
5.18351;60.04568;13;0;3;8;NA;NA;0.2;0.5;0.8197
